Title,Author,Average Rating,Publisher,Number of Pages,Year Published,Date Added,Exclusive Shelf
The Singapore Story: Memoirs of Lee Kuan Yew,Lee Kuan Yew,4.24,Pearson Ed Asia,680,1998,6/14/17,to-read
The Unsettling of America: Culture and Agriculture,Wendell Berry,4.37,Counterpoint,246,2004,3/23/16,to-read
Wonders of Life: Exploring the Most Extraordinary Phenomenon in the Universe,Brian Cox,4.43,Harper Design,288,2013,5/8/17,to-read
Wonders of the Solar System,Brian Cox,4.38,Collins,256,2010,5/8/17,to-read
Kon-Tiki,Thor Heyerdahl,4.12,Rand McNally,240,1990,4/4/17,to-read
Plot 29: A Memoir,Allan Jenkins,4.04,Fourth Estate,352,2017,4/1/17,to-read
The Wealthy Barber Returns,David Chilton,3.86,Financial Awareness Corporation,224,2011,3/18/17,to-read
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.31,NAL Trade,976,2002,3/16/17,to-read
"Letters to a Young Farmer: On Food, Farming, and Our Future",Martha Hodgkins,4.21,Princeton Architectural Press,176,2017,3/9/17,to-read
Ali in Wonderland: And Other Tall Tales,Ali Wentworth,3.45,Harper,272,2012,3/1/17,read
Human Universe,Brian Cox,4.3,William Collins,288,2014,2/6/17,to-read
On the Move: A Life,Oliver Sacks,4.06,Knopf,397,2015,2/24/16,read
The Horrors and Absurdities of Religion,Arthur Schopenhauer,3.88,Penguin Classics,106,2009,1/29/17,to-read
The Gulag Archipelago 1918–1956 (Abridged),Aleksandr I. Solzhenitsyn,4.23,HarperCollins,472,2002,1/29/17,to-read
Wild Swans: Three Daughters of China,Jung Chang,4.25,Simon  Schuster,562,2003,2/24/16,read
"No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State",Glenn Greenwald,4.08,Metropolitan Books/Henry Holt (NY),260,2014,1/8/17,to-read
What Do You Want to Do Before You Die?,The Buried Life,4.05,Artisan,224,2012,1/4/17,read
What Do You Care What Other People Think?,Richard P. Feynman,4.27,W.W. Norton & Company,256,2001,3/15/16,read
The Pursuit of Happyness,Chris Gardner,4.19,Amistad,320,2006,3/6/16,read
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard P. Feynman,4.27,W. W. Norton & Company,391,1997,3/15/16,read
My Life as an Explorer,Roald Amundsen,3.69,Amberley Publishing,160,2008,11/30/16,read
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,4.18,The Penguin Press,450,2006,3/10/16,read
In Defense of Food: An Eater's Manifesto,Michael Pollan,4.08,Penguin Press,205,2008,12/14/16,read
Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,Blaine Harden,4,Viking,205,2012,12/14/16,to-read
The Apprentice: My Life in the Kitchen,Jacques Pépin,4.18,Rux Martin/Houghton Mifflin Harcourt,352,2004,10/9/16,read
Incarnations: A History of India in Fifty Lives,Sunil Khilnani,4.06,"Farrar, Straus and Giroux",464,2016,11/30/16,to-read
The Royal Cookery Book (Le livre de cuisine),Jules Gouffe,0,Adamant Media Corporation,618,2001,6/19/16,to-read
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,3.74,Harper Perennial,399,2005,4/25/16,to-read
La Trilogie des Fourmis,Bernard Werber,4.22,Livre de Poche,1398,2004,4/20/16,to-read
A Short History of Nearly Everything,Bill Bryson,4.2,Broadway Books,544,2004,3/13/16,to-read
The Third Plate: Field Notes on the Future of Food,Dan Barber,4.25,Penguin Press,496,2014,3/10/16,read
Catching Fire: How Cooking Made Us Human,Richard W. Wrangham,3.86,Basic Books,309,2009,3/27/16,to-read
Pure Food: Securing the Federal Food and Drugs Act of 1906,James Harvey Young,3.5,Princeton University Press,326,1989,3/26/16,to-read
An Apple a Day,Joe Schwarcz,3.56,HarperCollins,384,2007,3/26/16,to-read
Agricultural Testament,Albert Howard,4.05,Rodale Pr,0,1973,3/26/16,to-read
The Battle for God: A History of Fundamentalism,Karen Armstrong,3.93,Ballantine Books,480,2001,3/23/16,to-read
An Atheist History of Religion,Thomas Dugan,0,Outskirts Press,202,2014,3/23/16,to-read
Battling the Gods: Atheism in the Ancient World,Tim Whitmarsh,3.78,Knopf,304,2015,3/23/16,to-read
Cooked: A Natural History of Transformation,Michael Pollan,4.02,The Penguin Press HC,468,2013,2/24/16,read
Catch Me If You Can: The True Story of a Real Fake,Frank W. Abagnale,4.07,Mainstream Publishing,224,2003,3/6/16,read
Modernist Cuisine at Home,Nathan Myhrvold,4.51,Cooking Lab,456,2012,2/27/16,to-read
1984,George Orwell,4.17,New American Library,328,1950,2/26/16,to-read
Mémoires de guerre Tome 2 1941-1945 (Texto),Winston S. Churchill,4.44,Tallandier,966,2015,2/24/16,to-read
Mémoires de guerre Tome 1 1919-1941 (Texto),Winston S. Churchill,4.22,Tallandier,688,2015,2/24/16,to-read
Mémoires de la Grande Guerre: 1911-1915,Winston S. Churchill,4.67,Tallandier,614,2014,2/24/16,to-read
The Food Lab: Better Home Cooking Through Science,J. Kenji López-Alt,4.5,W. W. Norton  Company,960,2015,2/24/16,to-read
The Professional Chef,Culinary Institute of America,4.26,John Wiley & Sons,1036,2001,2/24/16,to-read
New Larousse Gastronomique,Hamlyn Publishing Group,4.59,Hamlyn (UK),1216,2009,2/24/16,to-read
Nothing to Envy: Ordinary Lives in North Korea,Barbara Demick,4.43,Spiegel & Grau,316,2009,2/24/16,read
Life of Pi,Yann Martel,3.9,Seal Books,460,2006,2/24/16,read
"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,4.07,Modern Library,625,2001,2/24/16,read
The Count of Monte Cristo,Alexandre Dumas,4.24,Penguin Classics,1276,2003,2/24/16,read
Desert Flower,Waris Dirie,4.14,William Morrow Paperbacks,240,2011,2/24/16,read
A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,4.15,Sarah Crichton Books,229,2007,2/24/16,read
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,3.99,Knopf,315,2012,2/24/16,read
Steve & Me,Terri Irwin,4.3,Simon Spotlight Entertainment,273,2007,2/24/16,read
Tracks: A Woman's Solo Trek Across 1700 Miles of Australian Outback,Robyn Davidson,3.93,Vintage,288,1995,2/24/16,read
Pink Boots and a Machete: My Journey from NFL Cheerleader to National Geographic Explorer,Mireya Mayor,3.71,National Geographic Society,301,2011,2/24/16,read
Tropic of Capricorn,Simon Reeve,3.95,BBC Books,376,2008,2/24/16,read
"Better Than Before: What I Learned About Making and Breaking Habits - to Sleep More, Quit Sugar, Procrastinate Less, and Generally Build a Happier Life",Gretchen Rubin,3.84,Hodder & Stoughton General Division,304,2016,7/30/19,to-read
"The Four Tendencies: The Indispensable Personality Profiles That Reveal How to Make Your Life Better (and Other People's Lives Better, Too)",Gretchen Rubin,3.85,Books on Tape,7,2017,7/30/19,to-read
How to Be Everything: A Guide for Those Who (Still) Don't Know What They Want to Be When They Grow Up,Emilie Wapnick,3.87,HarperOne,240,2017,7/30/19,to-read
Born for This: How to Find the Work You Were Meant to Do,Chris Guillebeau,3.61,Crown Business,320,2016,7/30/19,to-read
"The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future",Chris Guillebeau,3.83,Crown Business,268,2012,7/30/19,to-read
Side Hustle: From Idea to Income in 27 Days,Chris Guillebeau,3.77,Currency,272,2017,7/30/19,to-read
"The Once and Future King (The Once and Future King, #1-4)",T.H. White,4.08,Ace,639,1987,7/11/19,to-read
1Q84,Haruki Murakami,3.92,Knopf,925,2011,7/11/19,to-read
Kafka on the Shore,Haruki Murakami,4.13,Vintage International,467,2006,7/11/19,to-read
His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.25,Laurel Leaf Library,1088,2003,7/11/19,to-read
The Martian Chronicles,Ray Bradbury,4.14,Bantam/Spectra,182,1984,7/11/19,to-read
Johnny Got His Gun,Dalton Trumbo,4.17,Citadel,309,2000,7/11/19,to-read
"The Foundation Trilogy (Foundation, #1-3)",Isaac Asimov,4.4,,679,1974,7/11/19,to-read
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,4.02,W.W. Norton & Company,425,2005,7/11/19,to-read
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25,William Morrow,491,2006,7/11/19,to-read
Cat's Cradle,Kurt Vonnegut,4.17,Penguin,306,1999,7/11/19,to-read
Speak,Laurie Halse Anderson,4.02,Puffin,202,2001,7/11/19,to-read
A Little Princess,Frances Hodgson Burnett,4.2,Penguin Books,242,2002,7/11/19,to-read
The World According to Garp,John Irving,4.08,Ballantine Books,610,1999,7/11/19,to-read
The Autobiography of Malcolm X,Malcolm X,4.31,Ballantine Books,466,,7/11/19,to-read
The Phantom Tollbooth,Norton Juster,4.21,Random House Bullseye Books,256,1996,7/11/19,to-read
Stranger in a Strange Land,Robert A. Heinlein,3.92,Ace,528,1991,7/11/19,to-read
The Glass Castle,Jeannette Walls,4.26,Scribner,288,2006,7/11/19,to-read
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.26,Penguin Books,487,2005,7/11/19,to-read
The Divine Comedy,Dante Alighieri,4.07,Everyman's Library,798,1995,7/11/19,to-read
A Prayer for Owen Meany,John Irving,4.23,Black Swan,637,1990,7/11/19,to-read
The Bell Jar,Sylvia Plath,4,Harper Perennial Modern Classics,294,2006,7/11/19,to-read
Man's Search for Meaning,Viktor E. Frankl,4.36,Beacon Press,165,2006,7/11/19,to-read
"Watership Down (Watership Down, #1)",Richard  Adams,4.05,Avon Books,478,1975,7/11/19,to-read
East of Eden,John Steinbeck,4.37,Penguin Books,601,2002,7/11/19,to-read
Sense and Sensibility,Jane Austen,4.07,Penguin Books,409,2003,7/11/19,to-read
The Perks of Being a Wallflower,Stephen Chbosky,4.2,MTV Books/Pocket Books,213,1999,7/11/19,to-read
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4.22,Bantam Books,289,1993,7/11/19,to-read
All Quiet on the Western Front,Erich Maria Remarque,3.96,Ballantine,296,1987,7/11/19,to-read
A Tree Grows in Brooklyn,Betty  Smith,4.26,HarperCollins Publishers,496,2006,7/11/19,to-read
Siddhartha,Hermann Hesse,4.01,Bantam Books,152,1981,7/11/19,to-read
The Grapes of Wrath,John Steinbeck,3.96,Viking,479,2014,7/11/19,to-read
The Handmaid's Tale,Margaret Atwood,4.1,Anchor Books,344,1998,7/11/19,to-read
Frankenstein,Mary Wollstonecraft Shelley,3.79,Penguin Classics,288,2018,7/11/19,read
One Hundred Years of Solitude,Gabriel García Márquez,4.06,Harper,417,2003,7/11/19,to-read
Crime and Punishment,Fyodor Dostoyevsky,4.21,Penguin,671,2002,7/11/19,to-read
Brave New World / Brave New World Revisited,Aldous Huxley,4.16,Harper Perennial Modern Classics,340,2005,7/11/19,to-read
The Picture of Dorian Gray,Oscar Wilde,4.07,Random House: Modern Library,272,2004,7/11/19,to-read
Little Women,Louisa May Alcott,4.06,Signet Classics,449,2004,7/11/19,to-read
Animal Farm,George Orwell,3.92,NAL,122,2003,7/11/19,read
Jane Eyre,Charlotte Brontë,4.12,Penguin,532,2003,7/11/19,to-read
The Great Gatsby,F. Scott Fitzgerald,3.91,Scribner,180,2004,7/11/19,read
"To Kill a Mockingbird (To Kill a Mockingbird, #1)",Harper Lee,4.27,Harper Perennial Modern Classics,324,2006,7/11/19,read
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,4.14,Portfolio,201,2014,7/11/19,to-read
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,4.47,Scribner,368,2017,7/11/19,to-read
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.32,Avery,319,2018,7/11/19,to-read
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,4.02,Gallery Books,258,1998,7/11/19,to-read
The Millionaire Mind,Thomas J. Stanley,4.18,Andrews McMeel Publishing,416,2001,7/11/19,to-read
Ego Is the Enemy,Ryan Holiday,4.14,Portfolio,226,2016,7/11/19,to-read
