Title,Author,Average Rating,Publisher,Number of Pages,Year Published,Date Added,Exclusive Shelf
"The War of the Jewels (The History of Middle-Earth, #11)",J.R.R. Tolkien,3.92,Houghton Mifflin Harcourt,470,1994,9/2/13,to-read
"Morgoth's Ring (The History of Middle-Earth, #10)",J.R.R. Tolkien,4.13,Houghton Mifflin Harcourt,478,1993,9/2/13,to-read
"The End of the Third Age: The History of The Lord of the Rings, Part Four (The History of Middle-earth, #9a)",J.R.R. Tolkien,4.08,Houghton Mifflin Harcourt,176,2000,9/2/13,to-read
"The Return of the Shadow: The History of The Lord of the Rings, Part One (The History of Middle-Earth, #6)",J.R.R. Tolkien,4.03,Houghton Mifflin,512,2000,9/2/13,to-read
"The War of the Ring (The History of Middle-Earth, #8)",J.R.R. Tolkien,4.14,HarperCollins,476,2002,9/2/13,to-read
"The Lost Road and Other Writings (The History of Middle-Earth, #5)",J.R.R. Tolkien,3.97,Unwin Paperbacks,455,1987,9/2/13,to-read
"The Shaping of Middle-Earth (The History of Middle-Earth, #4)",J.R.R. Tolkien,4.01,Houghton Mifflin Company,400,2002,9/2/13,to-read
"The Book of Lost Tales, Part Two (The History of Middle-Earth, #2)",J.R.R. Tolkien,3.86,Del Rey,391,1992,9/2/13,to-read
"The Lays of Beleriand (The History of Middle-Earth, #3)",J.R.R. Tolkien,3.97,Houghton Mifflin Harcourt,393,1985,9/2/13,to-read
"The Book of Lost Tales, Part One (The History of Middle-Earth, #1)",J.R.R. Tolkien,3.83,Del Rey/Ballantine Books,367,1992,9/2/13,to-read
"Destroyer of Worlds (Kingdom of the Serpent, #3)",Mark Chadbourn,4.11,,,,9/2/13,to-read
"The Burning Man (Kingdom of the Serpent, #2)",Mark Chadbourn,4.03,,352,,9/2/13,to-read
"Jack of Ravens (Kingdom of the Serpent, #1)",Mark Chadbourn,3.92,Pyr,,,9/2/13,to-read
"The Endless Knot (The Song of Albion, #3)",Stephen R. Lawhead,4.17,Thomas Nelson,439,2006,9/2/13,to-read
"The Silver Hand (The Song of Albion, #2)",Stephen R. Lawhead,4.23,WestBow Press,448,2006,9/2/13,to-read
"The Paradise War (The Song of Albion, #1)",Stephen R. Lawhead,4.04,WestBow Press,444,2006,9/2/13,to-read
"Pendragon (The Pendragon Cycle, #4)",Stephen R. Lawhead,3.95,Avon,448,1995,9/2/13,to-read
"Merlin (The Pendragon Cycle, #2)",Stephen R. Lawhead,4.08,Zondervan,484,1996,9/2/13,to-read
"Arthur (The Pendragon Cycle, #3)",Stephen R. Lawhead,4,Avon Fantasy,448,1990,9/2/13,to-read
Taliesin (The Pendragon Cycle #1),Stephen R. Lawhead,3.99,Harper Voyager,496,1998,9/2/13,to-read
"Tuck (King Raven, #3)",Stephen R. Lawhead,4.09,Thomas Nelson Inc,452,2009,9/2/13,to-read
"Scarlet (King Raven, #2)",Stephen R. Lawhead,4.01,Thomas Nelson Inc,443,2007,9/2/13,to-read
"Hood (King Raven, #1)",Stephen R. Lawhead,3.88,Westbow Pr,490,2006,9/2/13,to-read
"The Legend of Eli Monpress (The Legend of Eli Monpress, #1-3)",Rachel Aaron,4.16,Orbit,1040,2012,9/1/13,to-read
"The Mageborn Traitor (Exiles, #2)",Melanie Rawn,4.15,Pan Books,755,1997,9/1/13,to-read
"Skybowl (Dragon Star, #3)",Melanie Rawn,4.09,Tor,,1995,9/1/13,to-read
"The Dragon Token (Dragon Star, #2)",Melanie Rawn,4.1,Pan Books,592,1995,9/1/13,to-read
"Sunrunner's Fire (Dragon Prince, #3)",Melanie Rawn,4.1,DAW,496,2005,9/1/13,to-read
"The Star Scroll (Dragon Prince, #2)",Melanie Rawn,4.08,DAW,560,2005,9/1/13,to-read
"Stronghold (Dragon Star, #1)",Melanie Rawn,4.03,DAW,592,1991,9/1/13,to-read
"Dragon Prince (Dragon Prince, #1)",Melanie Rawn,3.95,DAW Trade,576,2005,9/1/13,to-read
"Elfsorrow (Legends of the Raven, #1)",James Barclay,4.01,Pyr,421,2010,9/1/13,to-read
"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,4.05,Alfred A. Knopf,748,2008,9/1/13,to-read
"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,4.1,Alfred A. Knopf,849,2011,9/1/13,to-read
"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,3.98,Knopf Books for Young Readers,704,2007,9/1/13,to-read
"Through Wolf's Eyes (Firekeeper Saga, #1)",Jane Lindskold,3.97,Tor Books,579,2002,9/1/13,to-read
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.02,Delacorte Press,384,2009,7/19/13,read
"Morgawr (The Voyage of the Jerle Shannara, #3)",Terry Brooks,3.97,Del Rey,415,2003,8/27/13,to-read
"Jarka Ruus (High Druid of Shannara, #1)",Terry Brooks,3.97,Del Rey,416,2005,8/27/13,to-read
"Antrax (Voyage of the Jerle Shannara, #2)",Terry Brooks,3.96,Del Rey Books,405,2002,8/27/13,to-read
"Ilse Witch (Voyage of the Jerle Shannara, #1)",Terry Brooks,3.96,Del Rey,456,2001,8/27/13,to-read
"The Talismans of Shannara (Heritage of Shannara, #4)",Terry Brooks,4.02,Orbit,440,1999,8/27/13,to-read
"The Druid of Shannara (Heritage of Shannara, #2)",Terry Brooks,4.02,Del Rey,471,1998,8/27/13,to-read
"The Elf Queen of Shannara (Heritage of Shannara, #3)",Terry Brooks,4.04,Orbit,416,1998,8/27/13,to-read
"The Scions of Shannara (Heritage of Shannara, #1)",Terry Brooks,3.99,Orbit,512,2006,8/27/13,to-read
"The Wishsong of Shannara (The Original Shannara Trilogy, #3)",Terry Brooks,3.97,Orbit,512,1999,8/27/13,to-read
"The Sword of Shannara (The Original Shannara Trilogy, #1)",Terry Brooks,3.76,Orbit,726,1999,8/27/13,to-read
"The Elfstones of Shannara  (The Original Shannara Trilogy, #2)",Terry Brooks,3.97,Books on Tape,23,2003,8/27/13,to-read
Forged in Fire (Sarah Beauhall #3),J.A. Pitts,4.06,Tor Books,432,2012,8/25/13,to-read
Honeyed Words (Sarah Beauhall #2),J.A. Pitts,3.86,Tor Books,416,2011,8/25/13,to-read
"Foundation (Valdemar: Collegium Chronicles, #1)",Mercedes Lackey,4,Brilliance Audio,340,2008,8/10/13,read
"King's Dragon (Crown of Stars, #1)",Kate Elliott,3.79,DAW Books,636,1998,8/10/13,to-read
"Linger (The Wolves of Mercy Falls, #2)",Maggie Stiefvater,3.91,Scholastic Press,362,2010,8/20/13,read
"Forever (The Wolves of Mercy Falls, #3)",Maggie Stiefvater,3.91,Scholastic Press,390,2011,8/20/13,read
"Feed (Newsflesh Trilogy, #1)",Mira Grant,3.85,Orbit,599,2010,8/19/13,to-read
Sing the Four Quarters (Quarters #1),Tanya Huff,3.83,DAW,410,1994,8/10/13,to-read
"Magician: Apprentice (The Riftwar Saga, #1)",Raymond E. Feist,4.17,Bantam Spectra,485,1994,8/10/13,to-read
"Dragonflight (Dragonriders of Pern, #1)",Anne McCaffrey,4.1,Del Rey,299,2005,8/10/13,to-read
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.21,HarperCollins Publishers,206,2005,8/10/13,to-read
"The Phoenix Unchained (Enduring Flame, #1)",Mercedes Lackey,3.85,Tor Books,398,2007,8/10/13,to-read
"Aerie (Dragon Jousters, #4)",Mercedes Lackey,3.95,DAW Books ,291,2006,8/10/13,to-read
"Sanctuary (Dragon Jousters, #3)",Mercedes Lackey,4,DAW,448,2006,8/10/13,to-read
"Alta (Dragon Jousters, #2)",Mercedes Lackey,4.03,Daw Books ,434,2005,8/10/13,to-read
"Oathblood (Valdemar: Vows and Honor, #3)",Mercedes Lackey,4.05,DAW,394,1998,8/10/13,to-read
"The Outstretched Shadow (Obsidian Mountain, #1)",Mercedes Lackey,4.01,Tor Books,604,2003,8/10/13,to-read
"The Lark and the Wren (Bardic Voices, #1)",Mercedes Lackey,4.03,Baen Books,488,1993,8/10/13,to-read
"The Oathbound (Valdemar: Vows and Honor, #1)",Mercedes Lackey,4.09,DAW,302,1988,8/10/13,to-read
Take a Thief (Valdemar #25),Mercedes Lackey,4.12,DAW,435,2002,8/10/13,to-read
"Oathbreakers (Valdemar: Vows and Honor, #2)",Mercedes Lackey,4.18,DAW,279,1989,8/10/13,to-read
"Exile's Honor (Heralds of Valdemar, #6)",Mercedes Lackey,4.19,Daw Books,431,2003,8/10/13,to-read
"Exile's Valor (Heralds of Valdemar, #7)",Mercedes Lackey,4.19,DAW,438,2004,8/10/13,to-read
"The Free Bards (Bardic Voices, #1-3)",Mercedes Lackey,4.18,Baen,712,1997,8/10/13,to-read
By the Sword (Valdemar),Mercedes Lackey,4.25,DAW,492,1991,8/10/13,to-read
"The Ruins of Ambrai (Exiles, #1)",Melanie Rawn,4.06,Pan Books,928,1997,8/10/13,to-read
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,4.45,"Simon & Schuster, Margaret K. McElderry ",502,2011,8/10/13,to-read
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,4.58,Simon & Schuster Margaret K. McElderry,571,2013,8/10/13,to-read
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.33,"Simon & Schuster, Margaret K. McElderry ",481,2010,8/10/13,to-read
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,4.29,Margaret K. McElderry Books,546,2012,8/10/13,to-read
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.14,"Simon & Schuster Children's, Margaret K. McElderry Books",425,2011,8/10/13,to-read
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.33,Margaret K. McElderry Books,541,2009,8/10/13,to-read
"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,4.19,Margaret K. McElderry Books,453,2008,8/10/13,to-read
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.11,Margaret K. McElderry Books,485,2007,12/30/12,read
"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,4.06,Tor Books,382,1994,8/7/13,read
"Ender's Game (Ender's Saga, #1)",Orson Scott Card,4.3,Macmillan Audio,324,2004,8/7/13,read
Part of the Pride: My Life Among the Big Cats of Africa,Kevin Richardson,4.23,St. Martin's Press,243,2009,8/3/13,read
"The Thousand Names (The Shadow Campaigns, #1)",Django Wexler,4.04,Roc,513,2013,8/1/13,to-read
"Shadowfell (Shadowfell, #1)",Juliet Marillier,3.92,Knopf Books for Young Readers,410,2012,8/1/13,to-read
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.61,Arthur A. Levine Books / Scholastic Inc.,759,2007,6/8/13,read
"The White Gryphon (Valdemar: Mage Wars, #2)",Mercedes Lackey,3.91,DAW,399,1996,7/19/13,read
"Divergent (Divergent, #1)",Veronica Roth,4.21,Katherine Tegen Books,487,2012,7/19/13,read
"Prince of Thorns (The Broken Empire, #1)",Mark  Lawrence,3.86,Voyager,384,2011,7/13/13,read
"King of Thorns (The Broken Empire, #2)",Mark  Lawrence,4.2,Ace Books,449,2012,7/29/13,to-read
"The Enchantments of Flesh and Spirit (Wraeththu, #1)",Storm Constantine,3.88,Tom Doherty Assoc Llc,320,1989,7/28/13,to-read
"The Curse of Chalion (World of the Five Gods, #1)",Lois McMaster Bujold,4.15,HarperTorch,502,2002,7/25/13,to-read
"Song in the Silence (The Tale of Lanen Kaelar, #1)",Elizabeth Kerner,3.95,Tor Fantasy,401,1998,7/24/13,to-read
"Mélusine (Doctrine of Labyrinths, #1)",Sarah Monette,3.63,Ace,477,2006,7/24/13,to-read
Winter's Tale,Mark Helprin,3.5,Mariner Books,748,2005,7/21/13,to-read
"Revenge of the Witch (The Last Apprentice / Wardstone Chronicles, #1)",Joseph Delaney,3.99,Harper Trophy,344,2006,7/21/13,to-read
"The Moon Dwellers (The Dwellers, #1)",David Estes,3.81,David Estes,369,2012,7/19/13,to-read
"Life As We Knew It (Last Survivors, #1)",Susan Beth Pfeffer,3.89,HMH Books for Young Readers,337,2006,7/19/13,to-read
"Partials (Partials Sequence, #1)",Dan Wells,3.94,Balzer + Bray,468,2012,7/19/13,to-read
"Uglies (Uglies, #1)",Scott Westerfeld,3.86,Simon Pulse,425,2005,7/19/13,to-read
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.15,Feiwel and Friends,390,2012,7/19/13,to-read
"Matched (Matched, #1)",Ally Condie,3.67,Dutton Books for Young Readers,369,2010,7/19/13,to-read
"Unwind (Unwind, #1)",Neal Shusterman,4.18,Simon & Schuster Books for Young Readers,337,2007,7/19/13,to-read
Horns,Joe Hill,3.92,William Morrow,370,2010,7/19/13,to-read
"Storm Front (The Dresden Files, #1)",Jim Butcher,4.01,Penguin ROC,322,2000,7/19/13,to-read
"Twelve (The Danilov Quintet, #1)",Jasper Kent,3.51,Bantam,480,2009,7/19/13,to-read
"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.3,Bantam Spectra,499,2006,7/19/13,to-read
"The Black Prism (Lightbringer, #1)",Brent Weeks,4.24,Orbit,629,2010,7/19/13,to-read
"The Last Herald-Mage (Valdemar: The Last Herald-Mage, #1-3)",Mercedes Lackey,4.48,SFBC,900,1990,7/19/13,read
"Owlknight (Owl Mage Trilogy, #3)",Mercedes Lackey,3.98,DAW,450,2000,7/19/13,read
"Owlsight (Owl Mage Trilogy, #2)",Mercedes Lackey,4,DAW,450,1999,7/19/13,read
"Owlflight (Owl Mage Trilogy, #1)",Mercedes Lackey,3.98,DAW,342,1998,7/19/13,read
"The Silver Gryphon (Valdemar: Mage Wars, #3)",Mercedes Lackey,3.82,Penguin Putnam Inc USA,400,1997,7/19/13,read
"Brightly Burning (Valdemar, #8)",Mercedes Lackey,4.08,Gollancz,,2002,7/19/13,read
"Storm Breaking (Valdemar: Mage Storms, #3)",Mercedes Lackey,4.05,Daw Books,463,1997,7/19/13,read
"Storm Rising (Valdemar: Mage Storms, #2)",Mercedes Lackey,4.01,DAW,412,1996,7/19/13,read
Storm Warning (Valdemar: Mage Storms #1),Mercedes Lackey,4.03,Daw Books,428,1995,7/19/13,read
Winds of Fury (Valdemar: Mage Winds #3),Mercedes Lackey,4.05,DAW,423,1994,7/19/13,read
The Black Gryphon (Valdemar: Mage Wars #1),Mercedes Lackey,4.05,DAW,460,1995,7/19/13,read
The End of Days Armageddon and Prophecies of the Return,Zecharia Sitchin,4.07,HarperCollins,317,2008,7/19/13,to-read
"The 12th Planet (Earth Chronicles, #1)",Zecharia Sitchin,3.98,Avon Books (NYC),438,2007,7/19/13,to-read
"The Witching Hour (Lives of the Mayfair Witches, #1)",Anne Rice,4.11,Arrow,1207,2004,7/19/13,to-read
"Book of Shadows (Sweep, #1)",Cate Tiernan,4.04,Speak,176,2007,7/19/13,to-read
"The Warrior Heir (The Heir Chronicles, #1)",Cinda Williams Chima,3.94,Hyperion Paperbacks,426,2007,7/19/13,to-read
"Furies of Calderon (Codex Alera, #1)",Jim Butcher,4.12,Ace,504,2005,7/19/13,to-read
"Fablehaven (Fablehaven, #1)",Brandon Mull,4.09,Shadow Mountain,351,2006,7/19/13,to-read
"The Innocent Mage (Kingmaker, Kingbreaker, #1)",Karen Miller,3.66,Orbit,642,2007,7/19/13,to-read
"The Summoner (Chronicles of the Necromancer, #1)",Gail Z. Martin,3.72,Solaris,637,2007,7/19/13,to-read
"Grave Witch (Alex Craft, #1)",Kalayna Price,3.96,Roc,325,2010,7/19/13,to-read
"The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)",Tad Williams,3.95,DAW,672,2005,7/19/13,to-read
"Shadowmarch (Shadowmarch, #1)",Tad Williams,3.73,DAW,796,2006,7/19/13,to-read
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.65,Tor Books,1007,2010,7/19/13,to-read
"The Black Company (The Chronicles of the Black Company, #1)",Glen Cook,3.94,Tor Fantasy,319,1992,7/19/13,to-read
"The Blade Itself (The First Law, #1)",Joe Abercrombie,4.16,Gollancz,515,2007,7/19/13,to-read
"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,4.15,Voyager,460,1996,7/19/13,to-read
"Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson,3.88,Tor Books,666,2005,7/19/13,to-read
"Banewreaker (The Sundering, #1)",Jacqueline Carey,3.44,Tor,502,2005,7/19/13,to-read
The Kite Runner,Khaled Hosseini,4.29,Riverhead Books,371,2004,7/19/13,to-read
Flowers for Algernon,Daniel Keyes,4.12,Harvest Books,311,2005,7/19/13,to-read
"His Majesty's Dragon (Temeraire, #1)",Naomi Novik,4.06,Del Rey,356,2006,7/19/13,to-read
"The Shadow of the Torturer (The Book of the New Sun, #1)",Gene Wolfe,3.79,Pocket Books,262,1984,7/19/13,to-read
"In the Garden of Iden (The Company, #1)",Kage Baker,3.78,Tor Books,336,2005,7/19/13,to-read
Night Watch (Watch #1),Sergei Lukyanenko,3.98,Miramax Books,455,2006,7/19/13,to-read
"Wild Seed (Patternmaster, #1)",Octavia E. Butler,4.21,Warner Books,306,2001,7/19/13,to-read
"Rosemary and Rue (October Daye, #1)",Seanan McGuire,3.75,DAW BOOKS Inc,346,2009,7/19/13,to-read
"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,3.99,Harper,228,2005,7/19/13,to-read
"Shards of Honour  (Vorkosigan Saga, #1)",Lois McMaster Bujold,4.11,Earthlight,253,2003,7/19/13,to-read
"The Devil You Know (Felix Castor, #1)",Mike Carey,3.8,Grand Central Publishing,406,2007,7/19/13,to-read
"The Andromeda Strain (Andromeda, #1)",Michael Crichton,3.89,Avon Books,327,2003,7/17/13,to-read
"Luck in the Shadows (Nightrunner, #1)",Lynn Flewelling,4.08,Bantam Spectra,479,1996,6/22/13,to-read
"The Pedlar and the Bandit King (Scarlet and the White Wolf, #1)",Kirby Crow,3.77,Torquere Press,221,2006,6/22/13,to-read
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.49,Scholastic Inc.,870,2004,6/8/13,read
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.55,Scholastic,734,2002,6/8/13,read
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.56,Scholastic Inc.,435,2004,6/8/13,read
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.41,Arthur A. Levine Books / Scholastic Inc.,341,1999,6/8/13,read
The Song of Achilles,Madeline Miller,4.33,Bloomsbury Publishing,352,2011,6/8/13,to-read
Merlin's Shadow (The Merlin Spiral #2),Robert Treskillard,4.26,Blink YA Books (HarperCollins),437,2013,5/12/13,to-read
"Merlin's Blade (The Merlin Spiral, #1)",Robert Treskillard,3.91,Blink YA Books (HarperCollins),432,2013,5/12/13,to-read
"The Highlander Series 3-Book Bundle (McCabe Trilogy, #1-3)",Maya Banks,4.41,Ballantine Books,1056,2012,4/14/13,read
"The Capture (Guardians of Ga'Hoole, #1)",Kathryn Lasky,3.9,Scholastic Paperbacks,222,2003,12/30/12,read
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,Del Rey Books,216,2005,12/30/12,to-read
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.77,Scholastic Press,392,2009,12/30/12,read
"The Amulet of Samarkand (Bartimaeus, #1)",Jonathan Stroud,4.01,Hyperion/Miramax,462,2003,12/30/12,to-read
The Hobbit or There and Back Again,J.R.R. Tolkien,4.27,Houghton Mifflin,366,2002,12/30/12,read
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.03,Scholastic Press,390,2010,12/30/12,read
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.29,Scholastic Press,391,2009,12/30/12,read
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.33,Scholastic Press,374,2008,12/30/12,read
X-Men: Second Coming,Mike Carey,4.12,Marvel Comics,392,2010,12/30/12,read
"The Treason of Isengard: The History of The Lord of the Rings, Part Two (The History of Middle-Earth, #7)",J.R.R. Tolkien,4.17,Houghton Mifflin Harcourt,512,1989,12/30/12,to-read
The Hobbit: Graphic Novel,Chuck Dixon,4.48,Ballantine Books,133,1990,12/30/12,read
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.36,Houghton Mifflin Harcourt,398,2003,12/30/12,read
Dragon Rider,Cornelia Funke,3.97,Chicken House,527,2005,12/30/12,read
"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.89,Alfred A. Knopf,503,2005,12/30/12,read
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,Scholastic Inc,322,1997,12/30/12,read
"Icefire (The Last Dragon Chronicles, #2)",Chris d'Lacey,3.91,Scholastic Inc.,421,2007,12/30/12,read
Magic's Promise (Valdemar: Last Herald-Mage #2),Mercedes Lackey,4.21,DAW Books Inc,320,1990,12/30/12,read
Magic's Pawn (Valdemar: Last Herald-Mage #1),Mercedes Lackey,4.21,DAW Books Inc,349,1989,12/30/12,read
"Arrows of the Queen (Heralds of Valdemar, #1)",Mercedes Lackey,4.15,Daw Books,320,1987,12/30/12,read
"Arrow's Flight (Heralds of Valdemar, #2)",Mercedes Lackey,4.14,DAW,318,1987,12/30/12,read
"Arrow's Fall (Heralds of Valdemar, #3)",Mercedes Lackey,4.19,Daw Books,319,1988,12/30/12,read
Magic's Price (Valdemar: Last Herald-Mage #3),Mercedes Lackey,4.27,DAW Books Inc,351,1990,12/30/12,read
"Winds of Change (Valdemar: Mage Winds, #2)",Mercedes Lackey,4.04,DAW,475,1993,12/30/12,read
Winds of Fate (Valdemar: Mage Winds #1),Mercedes Lackey,4.04,DAW,458,1992,12/30/12,read
"The Enchantress (The Secrets of the Immortal Nicholas Flamel, #6)",Michael Scott,4.24,Delacorte Press,513,2012,12/30/12,read
"The Warlock (The Secrets of the Immortal Nicholas Flamel, #5)",Michael Scott,4.18,Delacorte Press,385,2011,12/30/12,read
"The Necromancer  (The Secrets of the Immortal Nicholas Flamel, #4)",Michael Scott,4.13,Delacorte Books for Young Readers,416,2010,12/30/12,read
"The Sorceress (The Secrets of the Immortal Nicholas Flamel, #3)",Michael Scott,4.11,Delacorte Press,502,2009,12/30/12,read
"The Magician (The Secrets of the Immortal Nicholas Flamel, #2)",Michael Scott,4.09,Delacorte Press,464,2008,12/30/12,read
"The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)",Michael Scott,3.84,Delacorte Press,375,2007,12/30/12,read
