Reader,Title,Author,ISBN,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
Katrina,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,345816021,0,3.96,Random House Canada,409,2018,4/7/18,to-read,to-read (#56),to-read
Katrina,Maps of Meaning: The Architecture of Belief,Jordan B. Peterson,415922224,0,4.11,Routledge,564,1999,4/7/18,to-read,to-read (#55),to-read
Katrina,Buried in the Sky: The Extraordinary Story of the Sherpa Climbers on K2's Deadliest Day,Peter Zuckerman,393079880,0,4.16,W. W. Norton  Company,286,2012,4/6/18,to-read,to-read (#54),to-read
Katrina,The Bond,Simon McCartney,1680510916,0,4.61,Mountaineers Books,,2016,4/6/18,to-read,to-read (#53),to-read
Katrina,The Rape of Nanking,Iris Chang,140277447,0,4.12,Penguin Books,290,1998,3/16/18,to-read,to-read (#52),to-read
Katrina,Lion,Saroo Brierley,143429353,0,4.12,Penguin Random House India,288,,3/16/18,to-read,to-read (#51),to-read
Katrina,The Guest Cat,Takashi Hiraide,811221504,0,3.52,New Directions,140,2014,3/12/18,to-read,to-read (#50),to-read
Katrina,Being Mortal: Medicine and What Matters in the End,Atul Gawande,805095152,0,4.45,Metropolitan Books,282,2014,3/12/18,to-read,to-read (#49),to-read
Katrina,"Alice Waters and Chez Panisse: The Romantic, Impractical, Often Eccentric, Ultimately Brilliant Making of a Food Revolution",Thomas McNamee,1594201153,3,3.86,"Penguin Press HC, The",400,2007,1/22/18,,,read
Katrina,"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,60852550,0,4.04,HarperCollins Publishers,370,2007,1/30/18,to-read,to-read (#48),to-read
Katrina,No Shortcuts to the Top: Climbing the World's 14 Highest Peaks,Ed Viesturs,767924703,0,4.08,Broadway Books,368,2006,1/30/18,to-read,to-read (#47),to-read
Katrina,Leaving Microsoft to Change the World: An Entrepreneur's Odyssey to Educate the World's Children,John Wood,006112107X,0,4.08,HarperBusiness,272,2006,1/25/18,to-read,to-read (#46),to-read
Katrina,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,385494785,5,4.16,Anchor Books,368,1999,4/4/17,,,read
Katrina,Honeymoon with My Brother,Franz Wisner,312320906,0,3.5,St. Martin's Press,274,2005,1/12/18,to-read,to-read (#45),to-read
Katrina,The Wright Brothers,David McCullough,1476728747,0,4.14,Simon  Schuster,320,2015,1/10/18,to-read,to-read (#44),to-read
Katrina,Beatrix Potter: A Life in Nature,Linda Lear,312369344,4,4.03,St. Martin's Press,584,2007,1/10/18,,,read
Katrina,Gratitude,Oliver Sacks,345811364,0,4.15,Knopf Canada,64,2015,9/8/17,,,read
Katrina,My Life in France,Julia Child,1400043468,0,4.17,Knopf Publishing Group,336,2006,9/8/17,,,read
Katrina,"Mud, Sweat and Tears",Bear Grylls,190502648X,5,4.15,Transworld Publishers Ltd,352,2011,2/24/16,,,read
Katrina,"Rowing the Northwest Passage: Adventure, Fear, and Awe in a Rising Sea",Kevin Vallely,1771641347,5,3.71,Greystone Books,224,2017,12/20/17,,,read
Katrina,Patch Adams,Patch Adams,,0,3.99,Bentang Pustaka,310,2008,6/15/17,to-read,to-read (#36),to-read
Katrina,The Radium Girls: The Dark Story of America's Shining Women,Kate  Moore,149264935X,0,4.16,Sourcebooks,479,2017,12/5/17,to-read,to-read (#43),to-read
Katrina,Astrophysics for People in a Hurry,Neil deGrasse Tyson,393609391,0,4.1,W. W. Norton  Company,224,2017,12/5/17,to-read,to-read (#42),to-read
Katrina,The Miracles of Exodus: A Scientist's Discovery of the Extraordinary Natural Causes of the Biblical Stories,Colin J. Humphreys,60582731,0,3.9,HarperOne,368,2004,11/20/17,to-read,to-read (#41),to-read
Katrina,Apollo 8: The Thrilling Story of the First Mission to the Moon,Jeffrey Kluger,1627798323,0,4.41,Henry Holt and Co.,320,2017,11/16/17,to-read,to-read (#40),to-read
Katrina,Gates of Fire: An Epic Novel of the Battle of Thermopylae,Steven Pressfield,055338368X,0,4.41,Bantam,392,2005,11/16/17,to-read,to-read (#39),to-read
Katrina,"Do Androids Dream of Electric Sheep? (Blade Runner, #1)",Philip K. Dick,345404475,0,4.08,Del Rey / Ballantine Books,244,1996,10/16/17,to-read,to-read (#38),to-read
Katrina,The Elephant Whisperer,Lawrence Anthony,283070870,0,4.46,Sidgwick & Jackson Ltd,368,2009,7/13/17,to-read,to-read (#37),to-read
Katrina,The Singapore Story: Memoirs of Lee Kuan Yew,Lee Kuan Yew,130208035,0,4.24,Pearson Ed Asia,680,1998,6/14/17,to-read,to-read (#35),to-read
Katrina,The Unsettling of America: Culture and Agriculture,Wendell Berry,871568772,0,4.37,Counterpoint,246,2004,3/23/16,to-read,to-read (#34),to-read
Katrina,Wonders of Life: Exploring the Most Extraordinary Phenomenon in the Universe,Brian Cox,62241788,0,4.43,Harper Design,288,2013,5/8/17,to-read,to-read (#33),to-read
Katrina,Wonders of the Solar System,Brian Cox,7386907,0,4.38,Collins,256,2010,5/8/17,to-read,to-read (#32),to-read
Katrina,Kon-Tiki,Thor Heyerdahl,671726528,0,4.12,Rand McNally,240,1990,4/4/17,to-read,to-read (#31),to-read
Katrina,Plot 29: A Memoir,Allan Jenkins,,0,4.04,Fourth Estate,352,2017,4/1/17,to-read,to-read (#30),to-read
Katrina,The Wealthy Barber Returns,David Chilton,968394744,0,3.86,Financial Awareness Corporation,224,2011,3/18/17,to-read,to-read (#29),to-read
Katrina,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,451207149,0,4.31,NAL Trade,976,2002,3/16/17,to-read,to-read (#28),to-read
Katrina,"Letters to a Young Farmer: On Food, Farming, and Our Future",Martha Hodgkins,1616895306,0,4.21,Princeton Architectural Press,176,2017,3/9/17,to-read,to-read (#27),to-read
Katrina,Ali in Wonderland: And Other Tall Tales,Ali Wentworth,61998575,3,3.45,Harper,272,2012,3/1/17,,,read
Katrina,Human Universe,Brian Cox,7488807,0,4.3,William Collins,288,2014,2/6/17,to-read,to-read (#26),to-read
Katrina,On the Move: A Life,Oliver Sacks,385352549,5,4.06,Knopf,397,2015,2/24/16,,,read
